arm,run_id,gate_mode,map_basis,layer,rho,p_spatial,p_bonferroni,null_sd,n_transforms,gate_mean_layer,gate_spatial_std_layer,comparator,note
B,abl_vits_mixup_const05_s0,const,canon,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.5,0.0,baseline=abl_vits_mixup_baseline_s0,"the ADDRESS MAP is constant (freq_canon = 1.0000 at every position) — the threshold saturated on this cell, so the map carries no spatial information and rho is undefined, not zero"
B,abl_vits_mixup_const05_s0,const,canon,1,MISSING,MISSING,MISSING,MISSING,MISSING,0.5,0.0,baseline=abl_vits_mixup_baseline_s0,"the ADDRESS MAP is constant (freq_canon = 1.0000 at every position) — the threshold saturated on this cell, so the map carries no spatial information and rho is undefined, not zero"
B,abl_vits_mixup_const05_s0,const,canon,2,MISSING,MISSING,MISSING,MISSING,MISSING,0.5,0.0,baseline=abl_vits_mixup_baseline_s0,"the ADDRESS MAP is constant (freq_canon = 1.0000 at every position) — the threshold saturated on this cell, so the map carries no spatial information and rho is undefined, not zero"
B,abl_vits_mixup_const05_s0,const,canon,3,MISSING,MISSING,MISSING,MISSING,MISSING,0.5,0.0,baseline=abl_vits_mixup_baseline_s0,"the ADDRESS MAP is constant (freq_canon = 1.0000 at every position) — the threshold saturated on this cell, so the map carries no spatial information and rho is undefined, not zero"
B,abl_vits_mixup_const05_s0,const,canon,4,MISSING,MISSING,MISSING,MISSING,MISSING,0.5,0.0,baseline=abl_vits_mixup_baseline_s0,"the ADDRESS MAP is constant (freq_canon = 1.0000 at every position) — the threshold saturated on this cell, so the map carries no spatial information and rho is undefined, not zero"
B,abl_vits_mixup_const05_s0,const,canon,5,MISSING,MISSING,MISSING,MISSING,MISSING,0.5,0.0,baseline=abl_vits_mixup_baseline_s0,"the ADDRESS MAP is constant (freq_canon = 1.0000 at every position) — the threshold saturated on this cell, so the map carries no spatial information and rho is undefined, not zero"
B,abl_vits_mixup_const05_s0,const,canon,6,MISSING,MISSING,MISSING,MISSING,MISSING,0.5,0.0,baseline=abl_vits_mixup_baseline_s0,"the ADDRESS MAP is constant (freq_canon = 1.0000 at every position) — the threshold saturated on this cell, so the map carries no spatial information and rho is undefined, not zero"
B,abl_vits_mixup_const05_s0,const,canon,7,MISSING,MISSING,MISSING,MISSING,MISSING,0.5,0.0,baseline=abl_vits_mixup_baseline_s0,"the ADDRESS MAP is constant (freq_canon = 1.0000 at every position) — the threshold saturated on this cell, so the map carries no spatial information and rho is undefined, not zero"
B,abl_vits_mixup_const05_s0,const,canon,8,MISSING,MISSING,MISSING,MISSING,MISSING,0.5,0.0,baseline=abl_vits_mixup_baseline_s0,"the ADDRESS MAP is constant (freq_canon = 1.0000 at every position) — the threshold saturated on this cell, so the map carries no spatial information and rho is undefined, not zero"
B,abl_vits_mixup_const05_s0,const,canon,9,MISSING,MISSING,MISSING,MISSING,MISSING,0.5,0.0,baseline=abl_vits_mixup_baseline_s0,"the ADDRESS MAP is constant (freq_canon = 1.0000 at every position) — the threshold saturated on this cell, so the map carries no spatial information and rho is undefined, not zero"
