run_id,arch,recipe_actual,variant,block,aligned_stage,basis,n_images,n_images_with_exceedance,value_norm_exceedance,value_norm_other,ratio,ratio_ci_lo,ratio_ci_hi,endpoint_class,note
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,10,in_b10,mad,1000,1000,1.59480138,3.223681818,0.4947142647,0.4860150023,0.5033880123,exploratory,"value norm is the Fesser et al. no-op/broadcast diagnostic; EXPLORATORY, and it decides nothing about the wording rule"
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,10,in_b10,tau_cal,1000,1000,1.767826284,3.223558075,0.548408387,0.5394747836,0.5575512446,exploratory,"value norm is the Fesser et al. no-op/broadcast diagnostic; EXPLORATORY, and it decides nothing about the wording rule"
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,11,s11_out,mad,1000,1000,1.786319721,3.979950371,0.4488296473,0.4416668074,0.4564531534,exploratory,"value norm is the Fesser et al. no-op/broadcast diagnostic; EXPLORATORY, and it decides nothing about the wording rule"
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,11,s11_out,tau_cal,1000,1000,2.006255032,3.981483334,0.5038963781,0.4941064018,0.514147645,exploratory,"value norm is the Fesser et al. no-op/broadcast diagnostic; EXPLORATORY, and it decides nothing about the wording rule"
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,10,in_b10,mad,1000,1000,1.811648405,3.346623627,0.5413361665,0.5327174456,0.5501911422,exploratory,"value norm is the Fesser et al. no-op/broadcast diagnostic; EXPLORATORY, and it decides nothing about the wording rule"
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,10,in_b10,tau_cal,1000,1000,1.825689895,3.345047443,0.5457889389,0.5374460656,0.554240863,exploratory,"value norm is the Fesser et al. no-op/broadcast diagnostic; EXPLORATORY, and it decides nothing about the wording rule"
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,11,s11_out,mad,1000,1000,1.968442582,4.109668391,0.4789784466,0.4707149801,0.4876209815,exploratory,"value norm is the Fesser et al. no-op/broadcast diagnostic; EXPLORATORY, and it decides nothing about the wording rule"
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,11,s11_out,tau_cal,1000,1000,1.772827866,4.099509343,0.4324487928,0.4237253341,0.4414223107,exploratory,"value norm is the Fesser et al. no-op/broadcast diagnostic; EXPLORATORY, and it decides nothing about the wording rule"
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,10,in_b10,mad,1000,1000,1.710424267,3.384695101,0.5053407223,0.4972064433,0.513535808,exploratory,"value norm is the Fesser et al. no-op/broadcast diagnostic; EXPLORATORY, and it decides nothing about the wording rule"
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,10,in_b10,tau_cal,1000,1000,1.817490291,3.384262971,0.5370416858,0.5279886838,0.5458740331,exploratory,"value norm is the Fesser et al. no-op/broadcast diagnostic; EXPLORATORY, and it decides nothing about the wording rule"
