contrast,layer,epsilon,control_kind,run_id,arch,variant,scope,method,decides,n_images,theta_primary,theta_control_mean,control_band_lo,control_band_hi,primary_inside_band,mean_nats,ci_lo,ci_hi,excludes_zero,direction,delta_top1_points,verdict,verdict_reason,branch,branch_text,definition,bootstrap_resamples,bootstrap_seed,split_sha256,masks_sha256,ckpt_sha256,git_sha
C3,7,10,energy_matched,e2r_vits_mixup_baseline_s1,vit_small,baseline,fresh,baseline,1,10000,-0.0002320042928,-0.0001311332536,-0.0002497464953,2.662140662e-05,1,-0.0001008710391,-0.0002176379828,1.310058233e-05,0,-,0.004,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_baseline_s1': '-', 'e2r_vits_mixup_baseline_s2': '+'})",unanticipated,"the theta/control-band pattern is not one of the three branches TASK B §6 names; it is reported with the band, the intervals and no interpretation supplied","mean_i[ (nll(primary) - nll(native)) - mean_r (nll(ctrl r) - nll(native)) ], paired per image",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
C3,7,10,energy_matched,e2r_vits_mixup_baseline_s2,vit_small,baseline,fresh,baseline,1,10000,9.416453759e-05,7.667466875e-05,-1.71671717e-05,0.0001428753005,1,1.748986884e-05,-9.193896861e-05,0.0001267607149,0,+,0.01,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_baseline_s1': '-', 'e2r_vits_mixup_baseline_s2': '+'})",unanticipated,"the theta/control-band pattern is not one of the three branches TASK B §6 names; it is reported with the band, the intervals and no interpretation supplied","mean_i[ (nll(primary) - nll(native)) - mean_r (nll(ctrl r) - nll(native)) ], paired per image",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,baeee13f1864b926489bb186587ec65152fa8a935806fdf491971899db37ca7d,f1dcac340d8c474de6deead9c84f21c4ac581fba
C3,7,10,energy_matched,legacy_e2_vit_small_mixupdir_baseline,vit_small,baseline,legacy,baseline,0,10000,-0.0001797997796,-0.0001521379159,-0.0001927077446,-0.0001251906511,1,-2.766186372e-05,-0.0001336422565,7.687530801e-05,0,-,-0.033,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_baseline_s1': '-', 'e2r_vits_mixup_baseline_s2': '+'})",unanticipated,"the theta/control-band pattern is not one of the three branches TASK B §6 names; it is reported with the band, the intervals and no interpretation supplied","mean_i[ (nll(primary) - nll(native)) - mean_r (nll(ctrl r) - nll(native)) ], paired per image",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d,f1dcac340d8c474de6deead9c84f21c4ac581fba
C3,7,10,energy_matched,legacy_e2_vit_small_nomixdir_baseline,vit_small,baseline,legacy,baseline,0,10000,-2.634662949e-05,2.237647571e-05,-4.865528494e-05,0.000102276013,1,-4.872310519e-05,-0.0001668736105,6.981367104e-05,0,-,0.035,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_baseline_s1': '-', 'e2r_vits_mixup_baseline_s2': '+'})",unanticipated,"the theta/control-band pattern is not one of the three branches TASK B §6 names; it is reported with the band, the intervals and no interpretation supplied","mean_i[ (nll(primary) - nll(native)) - mean_r (nll(ctrl r) - nll(native)) ], paired per image",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d,f1dcac340d8c474de6deead9c84f21c4ac581fba
C3,7,10,energy_matched,e2r_vits_mixup_saga_s1,vit_small,saga,fresh,saga,1,10000,-0.0001443913952,-3.958208721e-05,-9.390334599e-05,5.631503426e-05,0,-0.0001048093079,-0.0002277949054,1.744107115e-05,0,-,-0.035,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '-', 'e2r_vits_mixup_saga_s2': '+'})",unanticipated,"the theta/control-band pattern is not one of the three branches TASK B §6 names; it is reported with the band, the intervals and no interpretation supplied","mean_i[ (nll(primary) - nll(native)) - mean_r (nll(ctrl r) - nll(native)) ], paired per image",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,f1dcac340d8c474de6deead9c84f21c4ac581fba
C3,7,10,energy_matched,e2r_vits_mixup_saga_s2,vit_small,saga,fresh,saga,1,10000,0.0001131651169,0.0001099734452,4.380042478e-05,0.0001926278234,1,3.191671707e-06,-0.0001287815778,0.0001392366386,0,+,-0.003,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '-', 'e2r_vits_mixup_saga_s2': '+'})",unanticipated,"the theta/control-band pattern is not one of the three branches TASK B §6 names; it is reported with the band, the intervals and no interpretation supplied","mean_i[ (nll(primary) - nll(native)) - mean_r (nll(ctrl r) - nll(native)) ], paired per image",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,f1dcac340d8c474de6deead9c84f21c4ac581fba
C3,7,10,energy_matched,legacy_e2_vit_small_mixupdir_saga,vit_small,saga,legacy,saga,0,10000,0.0001229656443,0.0001662515943,8.535570819e-05,0.000271489409,1,-4.328595003e-05,-0.0001568623764,7.314777343e-05,0,-,-0.002,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '-', 'e2r_vits_mixup_saga_s2': '+'})",unanticipated,"the theta/control-band pattern is not one of the three branches TASK B §6 names; it is reported with the band, the intervals and no interpretation supplied","mean_i[ (nll(primary) - nll(native)) - mean_r (nll(ctrl r) - nll(native)) ], paired per image",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,f1dcac340d8c474de6deead9c84f21c4ac581fba
C3,7,10,energy_matched,legacy_e2_vit_small_nomixdir_saga,vit_small,saga,legacy,saga,0,10000,6.492652837e-05,0.0001202216888,4.057831289e-05,0.0002066330162,1,-5.529516041e-05,-0.0001818041869,6.721924168e-05,0,-,0.027,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '-', 'e2r_vits_mixup_saga_s2': '+'})",unanticipated,"the theta/control-band pattern is not one of the three branches TASK B §6 names; it is reported with the band, the intervals and no interpretation supplied","mean_i[ (nll(primary) - nll(native)) - mean_r (nll(ctrl r) - nll(native)) ], paired per image",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee,f1dcac340d8c474de6deead9c84f21c4ac581fba
C3_unmatched,7,10,fixed_epsilon,e2r_vits_mixup_baseline_s1,vit_small,baseline,fresh,baseline,0,10000,-0.0002320042928,-0.0001304467521,-0.0002485090379,2.891606279e-05,1,-0.0001015575407,-0.0002194609862,1.317817806e-05,0,-,0.007,reported,unmatched controls never decide; the gap to the matched row is the size of the energy confound,MISSING,MISSING,"mean_i[ (nll(primary) - nll(native)) - mean_r (nll(ctrl r) - nll(native)) ], paired per image",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
C3_unmatched,7,10,fixed_epsilon,e2r_vits_mixup_baseline_s2,vit_small,baseline,fresh,baseline,0,10000,9.416453759e-05,7.443059442e-05,-1.893902204e-05,0.0001382362098,1,1.973394317e-05,-9.063025272e-05,0.0001289878951,0,+,0.01,reported,unmatched controls never decide; the gap to the matched row is the size of the energy confound,MISSING,MISSING,"mean_i[ (nll(primary) - nll(native)) - mean_r (nll(ctrl r) - nll(native)) ], paired per image",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,baeee13f1864b926489bb186587ec65152fa8a935806fdf491971899db37ca7d,f1dcac340d8c474de6deead9c84f21c4ac581fba
