contrast,role,layer,run_id,arch,recipe_actual,scope,decides,n_images,mean_nats,ci_lo,ci_hi,excludes_zero,direction,delta_top1_points,frac_positive,verdict,verdict_reason,branch,branch_text,c2_note,definition,bootstrap_resamples,bootstrap_seed,split_sha256,permutations_sha256,ckpt_sha256,git_sha
C1,primary,7,e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,0,10000,0.0001605372316,-7.001990877e-05,0.0003879227891,0,+,-0.022,0.4945,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - nll(original) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
C1,primary,7,e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,1,10000,2.289182102e-05,-0.000340549151,0.0003901669441,0,+,-0.036,0.4624,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - nll(original) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
C1,primary,7,e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,1,10000,-0.0001362051479,-0.0004158760273,0.0001376787565,0,-,-0.019,0.4,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - nll(original) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
C1,primary,7,e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,0,10000,7.881080434e-05,-0.0002020294021,0.0003653665616,0,+,-0.053,0.4962,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - nll(original) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
C1,primary,7,e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,0,10000,6.374000385e-07,-0.0002727421076,0.0002771173435,0,+,-0.028,0.498,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - nll(original) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
C1,primary,7,legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,0,10000,-2.010453697e-05,-0.0002379996726,0.0002048710202,0,-,0.023,0.4929,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - nll(original) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
C1,primary,7,legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,legacy,0,10000,-0.0003435644702,-0.0005551373785,-0.0001304075104,1,-,0.027,0.4303,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - nll(original) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,e9bc99596db9244061bdef4c2b51a387a3eed7af
C1,primary,7,legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,legacy,0,10000,-0.0002438719838,-0.000576392649,8.79419564e-05,0,-,-0.027,0.4438,null,"the direction is not consistent across the fresh pair ({'e2r_vits_mixup_saga_s1': '+', 'e2r_vits_mixup_saga_s2': '-'})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - nll(original) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee,e9bc99596db9244061bdef4c2b51a387a3eed7af
C2,primary,7,e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,0,10000,-5.630852778e-05,-0.0001439904739,3.029821272e-05,0,-,0.005,0.4754,null,"at least one fresh checkpoint's CI includes zero ({'e2r_vits_mixup_saga_s1': (-0.00041843940964294565, -0.00012661741539044308), 'e2r_vits_mixup_saga_s2': (-0.0001932636520271208, 3.665182437654565e-05)})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - mean_k nll(ringperm k) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
C2,primary,7,e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,1,10000,-0.0002749114957,-0.0004184394096,-0.0001266174154,1,-,-0.019,0.4555,null,"at least one fresh checkpoint's CI includes zero ({'e2r_vits_mixup_saga_s1': (-0.00041843940964294565, -0.00012661741539044308), 'e2r_vits_mixup_saga_s2': (-0.0001932636520271208, 3.665182437654565e-05)})",no_arrangement,the frozen model does not use its gate arrangement beyond the per‑head mean,"C2 is reported without a reading: with no effect to decompose, the split between ring profile and within‑ring arrangement is not interpretable.","mean_i[ mean_k nll(perm k) - mean_k nll(ringperm k) ], paired per image (LOCKED §9.1)",10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
