run_id,family,provenance_tag,arch,variant,recipe_actual,recipe_dirname,recipe_source,seed,seed_source,seed_controlled,epochs_completed,epochs_configured,ckpt_kind,ckpt_path,ckpt_sha256,ckpt_dir_source,n_prefix,gate_mode,gate_init_logit,gate_params_registered,gate_params_trainable,hist_stage,hist_eval_precision,hist_split_sha,recorded_top1,base_run_id,base_ckpt_sha256,derived_params,status,status_reason,git_sha,git_dirty,patch_file
e2r_vitb_mixup_baseline_s1,e2r_300ep,s1,vit_base,baseline,mixup,mixup,"config.resolved.yaml augmentation (mixup_alpha=0.8, cutmix_alpha=1.0)",1,config.resolved.yaml + meta.json (training),1,300,300,last,results/runs/e2r_vitb_mixup_baseline_s1/ckpt/last.pth,316211c719c41113c1f9bffa7f500e158d727c0f0998e41869796209a3fd1339,<run_dir>/ckpt (no ckpt_dir recorded),1,MISSING,0.0,0,0,s12_pre_norm,off,0a686340c00846818a857cf4cbf472cbdc035e0a88c20d79483f7d9f463b69b1,77.114,MISSING,MISSING,MISSING,eligible,300-epoch cohort member vit_base|mixup|baseline (s1),9ee1d26c53da5700609e247faad295bc0232130a,1,MISSING
e2r_vitb_mixup_baseline_s1,e2r_300ep,s1,vit_base,baseline,mixup,mixup,"config.resolved.yaml augmentation (mixup_alpha=0.8, cutmix_alpha=1.0)",1,config.resolved.yaml + meta.json (training),1,300,300,best,results/runs/e2r_vitb_mixup_baseline_s1/ckpt/best.pth,94dd732d6bcedd07f29d7a9e9e5d297e1d1a4304c2a6fbfc8113e0c22629b94d,<run_dir>/ckpt (no ckpt_dir recorded),1,MISSING,0.0,0,0,s12_pre_norm,off,0a686340c00846818a857cf4cbf472cbdc035e0a88c20d79483f7d9f463b69b1,77.144,MISSING,MISSING,MISSING,superseded,diagnostics come from the LAST checkpoint (TASK I0 §2.9); best.pth is recorded as existing and is never eligible,9ee1d26c53da5700609e247faad295bc0232130a,1,MISSING
e2r_vitb_mixup_baseline_s2,e2r_300ep,s2,vit_base,baseline,mixup,mixup,"config.resolved.yaml augmentation (mixup_alpha=0.8, cutmix_alpha=1.0)",2,config.resolved.yaml + meta.json (training),1,1,300,last,results/runs/e2r_vitb_mixup_baseline_s2/ckpt/last.pth,371e289404503e1d2000878293db06dd84fb1e0f67dc1cab7942807dfa03b58c,<run_dir>/ckpt (no ckpt_dir recorded),1,MISSING,0.0,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,invalid,"training incomplete: 1 of 300 epochs, end_time=None",01170fa33c2e485d9d3ac0249d4f6e5d9778965c,1,MISSING
e2r_vitb_mixup_baseline_s2,e2r_300ep,s2,vit_base,baseline,mixup,mixup,"config.resolved.yaml augmentation (mixup_alpha=0.8, cutmix_alpha=1.0)",2,config.resolved.yaml + meta.json (training),1,1,300,best,results/runs/e2r_vitb_mixup_baseline_s2/ckpt/best.pth,ad80ca9951cc8e86853e7dcb87d4bbdb8179ffe5950cf27e79dae44199438a26,<run_dir>/ckpt (no ckpt_dir recorded),1,MISSING,0.0,0,0,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,invalid,"training incomplete: 1 of 300 epochs, end_time=None",01170fa33c2e485d9d3ac0249d4f6e5d9778965c,1,MISSING
e2r_vitb_mixup_saga_s1,e2r_300ep,s1,vit_base,saga,mixup,mixup,"config.resolved.yaml augmentation (mixup_alpha=0.8, cutmix_alpha=1.0)",1,config.resolved.yaml + meta.json (training),1,300,300,last,results/runs/e2r_vitb_mixup_saga_s1/ckpt/last.pth,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,<run_dir>/ckpt (no ckpt_dir recorded),1,MISSING,0.0,28224,28224,s12_pre_norm,off,0a686340c00846818a857cf4cbf472cbdc035e0a88c20d79483f7d9f463b69b1,77.266,MISSING,MISSING,MISSING,eligible,300-epoch cohort member vit_base|mixup|saga (s1),9ee1d26c53da5700609e247faad295bc0232130a,1,MISSING
e2r_vitb_mixup_saga_s1,e2r_300ep,s1,vit_base,saga,mixup,mixup,"config.resolved.yaml augmentation (mixup_alpha=0.8, cutmix_alpha=1.0)",1,config.resolved.yaml + meta.json (training),1,300,300,best,results/runs/e2r_vitb_mixup_saga_s1/ckpt/best.pth,c11027bbb228089eb8697b99191878a1e2ea55ac3ab9d478d7c47b1a10cb5e65,<run_dir>/ckpt (no ckpt_dir recorded),1,MISSING,0.0,28224,28224,s12_pre_norm,off,0a686340c00846818a857cf4cbf472cbdc035e0a88c20d79483f7d9f463b69b1,77.312,MISSING,MISSING,MISSING,superseded,diagnostics come from the LAST checkpoint (TASK I0 §2.9); best.pth is recorded as existing and is never eligible,9ee1d26c53da5700609e247faad295bc0232130a,1,MISSING
e2r_vitb_mixup_saga_s2,e2r_300ep,s2,vit_base,saga,mixup,mixup,"config.resolved.yaml augmentation (mixup_alpha=0.8, cutmix_alpha=1.0)",2,config.resolved.yaml + meta.json (training),1,1,300,last,results/runs/e2r_vitb_mixup_saga_s2/ckpt/last.pth,a56bfb4f04fba57fe4f9148bb0036ecef91be69dd25717e3209e0792f2e675d0,<run_dir>/ckpt (no ckpt_dir recorded),1,MISSING,0.0,28224,28224,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,invalid,"training incomplete: 1 of 300 epochs, end_time=None",01170fa33c2e485d9d3ac0249d4f6e5d9778965c,1,MISSING
e2r_vitb_mixup_saga_s2,e2r_300ep,s2,vit_base,saga,mixup,mixup,"config.resolved.yaml augmentation (mixup_alpha=0.8, cutmix_alpha=1.0)",2,config.resolved.yaml + meta.json (training),1,1,300,best,results/runs/e2r_vitb_mixup_saga_s2/ckpt/best.pth,87039735b77734b83c2e8ec2ef986a908c902949725122f04ddb0072b5a48471,<run_dir>/ckpt (no ckpt_dir recorded),1,MISSING,0.0,28224,28224,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,invalid,"training incomplete: 1 of 300 epochs, end_time=None",01170fa33c2e485d9d3ac0249d4f6e5d9778965c,1,MISSING
e2r_vits_mixup_baseline_s1,e2r_300ep,s1,vit_small,baseline,mixup,mixup,"config.resolved.yaml augmentation (mixup_alpha=0.8, cutmix_alpha=1.0)",1,config.resolved.yaml + meta.json (training),1,300,300,last,results/runs/e2r_vits_mixup_baseline_s1/ckpt/last.pth,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,<run_dir>/ckpt (no ckpt_dir recorded),1,MISSING,0.0,0,0,s12_pre_norm,off,0a686340c00846818a857cf4cbf472cbdc035e0a88c20d79483f7d9f463b69b1,78.862,MISSING,MISSING,MISSING,eligible,300-epoch cohort member vit_small|mixup|baseline (s1),9ee1d26c53da5700609e247faad295bc0232130a,1,MISSING
e2r_vits_mixup_baseline_s1,e2r_300ep,s1,vit_small,baseline,mixup,mixup,"config.resolved.yaml augmentation (mixup_alpha=0.8, cutmix_alpha=1.0)",1,config.resolved.yaml + meta.json (training),1,300,300,best,results/runs/e2r_vits_mixup_baseline_s1/ckpt/best.pth,3b539c43ac006ee790d5b03915276577b1164d3183a77e869e12ebab3cbf7317,<run_dir>/ckpt (no ckpt_dir recorded),1,MISSING,0.0,0,0,s12_pre_norm,off,0a686340c00846818a857cf4cbf472cbdc035e0a88c20d79483f7d9f463b69b1,78.956,MISSING,MISSING,MISSING,superseded,diagnostics come from the LAST checkpoint (TASK I0 §2.9); best.pth is recorded as existing and is never eligible,9ee1d26c53da5700609e247faad295bc0232130a,1,MISSING
